audio_path,reference,condition
data/processed/noisy_10db/sample_001_noisy_10db.wav,वह बहुत बोलती है।,noisy_10db
data/processed/noisy_10db/sample_002_noisy_10db.wav,टॉम के पास चाय नहीं है।,noisy_10db
data/processed/noisy_10db/sample_003_noisy_10db.wav,थोड़ी ऊँची आवाज़ में बोलिए।,noisy_10db
data/processed/noisy_10db/sample_004_noisy_10db.wav,राजस्थान: क्या बाड़मेर विधानसभा सीट पर कांग्रेस लगाएगी हैट्रिक?,noisy_10db
data/processed/noisy_10db/sample_005_noisy_10db.wav,यह रही तेरी चाय।,noisy_10db
data/processed/noisy_10db/sample_006_noisy_10db.wav,जल्दी से दरवाजा बंद कर दीजिए।,noisy_10db
data/processed/noisy_10db/sample_007_noisy_10db.wav,बीएसएनएल की नजर विदेशी बाजारों पर,noisy_10db
data/processed/noisy_10db/sample_008_noisy_10db.wav,मेरे पास आज बहुत काम है।,noisy_10db
data/processed/noisy_10db/sample_009_noisy_10db.wav,यह सशक्त लोकपाल नहीं हैः लालू यादव,noisy_10db
data/processed/noisy_10db/sample_010_noisy_10db.wav,यहाँ से ज़्यादा दूर नहीं है।,noisy_10db
data/processed/noisy_10db/sample_011_noisy_10db.wav,'सचिन तेंदुलकर' बन कर चौके-छक्के लगाते नजर आए कैलाश विजयवर्गीय,noisy_10db
data/processed/noisy_10db/sample_012_noisy_10db.wav,मैं तुमसे सहमत नहीं हूँ।,noisy_10db
data/processed/noisy_10db/sample_013_noisy_10db.wav,बाबा रामदेव बोले- भारत में करोड़ों कमाकर बिरयानी खाते हैं पाकिस्तानी कलाकार,noisy_10db
data/processed/noisy_10db/sample_014_noisy_10db.wav,केन खुश है।,noisy_10db
data/processed/noisy_10db/sample_015_noisy_10db.wav,उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।,noisy_10db
data/processed/noisy_10db/sample_016_noisy_10db.wav,तुम कौनसे जूते पहनोगी?,noisy_10db
data/processed/noisy_10db/sample_017_noisy_10db.wav,केसी त्यागी बोले- हमनें नहीं दिया तेजस्वी को कोई अल्टीमेटम,noisy_10db
data/processed/noisy_10db/sample_018_noisy_10db.wav,अभी तक हुआ नहीं है।,noisy_10db
data/processed/noisy_10db/sample_019_noisy_10db.wav,"पत्रकार को गोली लगी, हालत गंभीर",noisy_10db
data/processed/noisy_10db/sample_020_noisy_10db.wav,हैदराबाद एनकाउंटर पर बोली शिवसेना- पुलिस ने न्याय के लिए अपनाया शॉर्टकट,noisy_10db
data/processed/noisy_10db/sample_021_noisy_10db.wav,मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।,noisy_10db
data/processed/noisy_10db/sample_022_noisy_10db.wav,वह चाय पसंद करता है।,noisy_10db
data/processed/noisy_10db/sample_023_noisy_10db.wav,महाराष्ट्र की सियासत में आया उबाल,noisy_10db
data/processed/noisy_10db/sample_024_noisy_10db.wav,"आम आदमी पार्टी में लगाए जा रहे हैं 'एंटी वायरस', कुमार ने गिनाए काम",noisy_10db
data/processed/noisy_10db/sample_025_noisy_10db.wav,यह लिफ़्ट छटी मंज़िल तक ही जाती है।,noisy_10db
data/processed/noisy_10db/sample_026_noisy_10db.wav,मेरे कमरे में टीवी नहीं है।,noisy_10db
data/processed/noisy_10db/sample_027_noisy_10db.wav,वह उसकी ख़ासियत है।,noisy_10db
data/processed/noisy_10db/sample_028_noisy_10db.wav,जो मरने वाले हैं वे तुम्हें सलाम करते हैं।,noisy_10db
data/processed/noisy_10db/sample_029_noisy_10db.wav,तमिलनाडु: डीएमके पूर्व मंत्री के घर पड़ा छापा,noisy_10db
data/processed/noisy_10db/sample_030_noisy_10db.wav,यह सोना है।,noisy_10db
data/processed/noisy_10db/sample_031_noisy_10db.wav,शनिवार हफ़्ते का आखिरी दिन होता है।,noisy_10db
data/processed/noisy_10db/sample_032_noisy_10db.wav,उसकी मदद कौन करता है?,noisy_10db
data/processed/noisy_10db/sample_033_noisy_10db.wav,मुझे एक कप चाय चाहिए।,noisy_10db
data/processed/noisy_10db/sample_034_noisy_10db.wav,"टीचर ने बाथरूम में छात्रा से की छेड़छाड़, मामला दर्ज",noisy_10db
data/processed/noisy_10db/sample_035_noisy_10db.wav,उसने एक अंडा बहर निकाला।,noisy_10db
data/processed/noisy_10db/sample_036_noisy_10db.wav,यह लड़का मेरा बेटा है।,noisy_10db
data/processed/noisy_10db/sample_037_noisy_10db.wav,जाँच-पड़ताल जारी है।,noisy_10db
data/processed/noisy_10db/sample_038_noisy_10db.wav,क्या मंगाऊँ?,noisy_10db
data/processed/noisy_10db/sample_039_noisy_10db.wav,सभी लड़के भाग गए।,noisy_10db
data/processed/noisy_10db/sample_040_noisy_10db.wav,बढ़िया शो था।,noisy_10db
data/processed/noisy_10db/sample_041_noisy_10db.wav,अस्पताल यहाँ से नज़दीक है।,noisy_10db
data/processed/noisy_10db/sample_042_noisy_10db.wav,वह चाय पी रहा है।,noisy_10db
data/processed/noisy_10db/sample_043_noisy_10db.wav,अपनी अगली फिल्म में इस एक्ट्रेस से रोमांस करेंगे कॉमेडियन कपिल शर्मा,noisy_10db
data/processed/noisy_10db/sample_044_noisy_10db.wav,आप बिलकुल भी डरे हुए नहीं लगते हो।,noisy_10db
data/processed/noisy_10db/sample_045_noisy_10db.wav,मुझे अपने तरीके से करने दो।,noisy_10db
data/processed/noisy_10db/sample_046_noisy_10db.wav,किसे मालूम है?,noisy_10db
data/processed/noisy_10db/sample_047_noisy_10db.wav,बिहार में आज रात से ट्रांसपोर्टरों का अनिश्चितकालीन चक्का जाम,noisy_10db
data/processed/noisy_10db/sample_048_noisy_10db.wav,भोज ओपन यूनिवर्सिटी में खुलेगी लैंग्वेज लैब,noisy_10db
data/processed/noisy_10db/sample_049_noisy_10db.wav,मैं उसका बिलकुल भी यकीन नहीं करता।,noisy_10db
data/processed/noisy_10db/sample_050_noisy_10db.wav,वे ज़मीन एकड़ों में बेचतें हैं।,noisy_10db
data/processed/noisy_10db/sample_051_noisy_10db.wav,वे स्पेनी हैं।,noisy_10db
data/processed/noisy_10db/sample_052_noisy_10db.wav,वह अपनी बूढ़ी माँ की देखभाल करती है।,noisy_10db
data/processed/noisy_10db/sample_053_noisy_10db.wav,कंधमाल कांड: नन ने मुख्य आरोपी की पहचान की,noisy_10db
